akun,komunitas,degree_centrality,betweenness,eigenvector,degree,ukuran_komunitas,skor_mencurigakan
1332218528166866944,53,0.0081,0.0,0,2,3,0.05324
2033578640211156992,47,0.0081,0.0,0,2,3,0.05324
1800731767789547520,51,0.0081,0.0,0,2,3,0.05324
1869673304,35,0.0081,0.0,0,2,3,0.05324
1171334228,25,0.0081,0.0,0,2,3,0.05324
Mah5Utari,54,0.004,0.0,0,1,3,0.0516
DombaHitamManis,53,0.004,0.0,0,1,3,0.0516
azraelcode,44,0.004,0.0,0,1,3,0.0516
pejuangdolars,54,0.004,0.0,0,1,3,0.0516
nabillaaptrii,16,0.004,0.0,0,1,3,0.0516
Debtfreesoon02,16,0.004,0.0,0,1,3,0.0516
KakekHalal,53,0.004,0.0,0,1,3,0.0516
grow0ldtogether,51,0.004,0.0,0,1,3,0.0516
Rafi09210,44,0.004,0.0,0,1,3,0.0516
toxchik,43,0.004,0.0,0,1,3,0.0516
haritstoteles_,43,0.004,0.0,0,1,3,0.0516
AzzamAlghifar14,47,0.004,0.0,0,1,3,0.0516
thingsnialike,47,0.004,0.0,0,1,3,0.0516
ketumbarts,51,0.004,0.0,0,1,3,0.0516
__djazzy,25,0.004,0.0,0,1,3,0.0516
fxmario,25,0.004,0.0,0,1,3,0.0516
edo_rizky21,35,0.004,0.0,0,1,3,0.0516
ojk.go.id,35,0.004,0.0,0,1,3,0.0516
1193824057797439488,7,0.0121,0.0,0,3,4,0.044840000000000005
tanyakanrl,56,0.0121,0.0,0,3,4,0.044840000000000005
recehtuitt,48,0.0121,0.0,0,3,4,0.044840000000000005
1113309271838535680,31,0.0081,0.0,0,2,4,0.04324000000000001
Makaryo0,31,0.0081,0.0,0,2,4,0.04324000000000001
zanski_,7,0.004,0.0,0,1,4,0.041600000000000005
stfugurlyash,7,0.004,0.0,0,1,4,0.041600000000000005
228948489,48,0.004,0.0,0,1,4,0.041600000000000005
1836870023803195393,31,0.004,0.0,0,1,4,0.041600000000000005
2383953985,48,0.004,0.0,0,1,4,0.041600000000000005
1196357667557527553,48,0.004,0.0,0,1,4,0.041600000000000005
Rashelvavn,7,0.004,0.0,0,1,4,0.041600000000000005
1139680043909517313,56,0.004,0.0,0,1,4,0.041600000000000005
ghozyulhaq,31,0.004,0.0,0,1,4,0.041600000000000005
2997216296,56,0.004,0.0,0,1,4,0.041600000000000005
2942953585,56,0.004,0.0,0,1,4,0.041600000000000005
mrtweepsID,8,0.0645,0.0,0,16,15,0.0383
1798649788868833280,22,0.0565,0.0,0,14,13,0.036885714285714286
2024676727453278208,9,0.0685,0.0,0,17,22,0.03609565217391305
karirfess,11,0.0121,0.0,0,3,6,0.03341142857142857
709135429,11,0.0081,0.0,0,2,6,0.031811428571428574
1924344158527066112,11,0.0081,0.0,0,2,6,0.031811428571428574
sporty_fy31601,11,0.004,0.0,0,1,6,0.03017142857142857
aive99,11,0.004,0.0,0,1,6,0.03017142857142857
419214939,11,0.004,0.0,0,1,6,0.03017142857142857
1774905451647524864,24,0.0121,0.0,0,3,7,0.029840000000000002
darderdor_100x,29,0.0242,0.0,0,6,9,0.029680000000000005
155157511,13,0.0323,0.0,0,8,11,0.029586666666666667
bismillahyuk_,50,0.0363,0.0,0,9,13,0.028805714285714285
1578214474573840385,22,0.0363,0.0,0,9,13,0.028805714285714285
kumparan,24,0.0081,0.0,0,2,7,0.02824
kompascom,24,0.0081,0.0,0,2,7,0.02824
1467174226293522432,24,0.0081,0.0,0,2,7,0.02824
moowinterus,49,0.0242,0.0,0,6,10,0.027861818181818186
tanyarlfes,27,0.0403,0.0,0,10,18,0.026646315789473685
KPPU,24,0.004,0.0,0,1,7,0.026600000000000002
2028298218707300353,24,0.004,0.0,0,1,7,0.026600000000000002
MorganKatalia,24,0.004,0.0,0,1,7,0.026600000000000002
891734833210114048,29,0.0081,0.0,0,2,9,0.023240000000000004
858098904180465664,29,0.0081,0.0,0,2,9,0.023240000000000004
mrcorleoneeeeee,13,0.0161,0.0,0,4,11,0.023106666666666668
1851179959660003328,49,0.0121,0.0,0,3,10,0.023021818181818185
1676232348562751489,29,0.004,0.0,0,1,9,0.021600000000000005
2004976587868176389,29,0.004,0.0,0,1,9,0.021600000000000005
1920511605479256064,29,0.004,0.0,0,1,9,0.021600000000000005
bahayabahadur,29,0.004,0.0,0,1,9,0.021600000000000005
Risristidf,29,0.004,0.0,0,1,9,0.021600000000000005
